Sharpe,Ann_Return,Ann_Vol,Max_Drawdown,Win_Rate,ticker,test_period,strategy
-1.694,-0.3666,0.2164,-0.3566,0.0239,SPY,2022-01-01 to 2022-12-31,MovingAvg
0.312,0.0681,0.218,-0.1004,0.0359,SPY,2022-01-01 to 2022-12-31,Momentum
2.145,0.4536,0.2115,-0.0862,0.0518,SPY,2022-01-01 to 2022-12-31,MeanRev
-0.799,-0.174,0.2178,-0.2821,0.0359,SPY,2022-01-01 to 2022-12-31,Breakout
-2.07,-0.3799,0.1835,-0.3536,0.0279,SPY,2022-01-01 to 2022-12-31,TrendFollow
-1.846,-0.2901,0.1571,-0.2654,0.0598,SPY,2022-01-01 to 2022-12-31,Adaptive
-1.603,-0.1105,0.069,-0.1036,0.0398,SPY,2022-01-01 to 2022-12-31,EqualWeight
0.506,0.1415,0.2795,-0.1225,0.0398,AAPL,2022-01-01 to 2022-12-31,MovingAvg
-1.335,-0.3717,0.2785,-0.4075,0.0319,AAPL,2022-01-01 to 2022-12-31,Momentum
-0.09,-0.0261,0.2901,-0.1808,0.0438,AAPL,2022-01-01 to 2022-12-31,MeanRev
-1.428,-0.3973,0.2782,-0.4851,0.0438,AAPL,2022-01-01 to 2022-12-31,Breakout
0.509,0.1218,0.2394,-0.0755,0.0398,AAPL,2022-01-01 to 2022-12-31,TrendFollow
-0.211,-0.0318,0.1506,-0.0926,0.0598,AAPL,2022-01-01 to 2022-12-31,Adaptive
-1.153,-0.1104,0.0957,-0.1112,0.0518,AAPL,2022-01-01 to 2022-12-31,EqualWeight
